Name: .AIC | Group: 16448 | Offset: 121476
Name: .AIC_IN_DATA | Group: 61472 | Offset: 400
Name: .AIC_OUT_DATA | Group: 61488 | Offset: 400
Name: .ARGTYPE_IS_BIT_TYPE | Group: 16448 | Offset: 230882
Name: .ARGTYPE_IS_FLOAT_TYPE | Group: 16448 | Offset: 230825
Name: .ARGTYPE_IS_SIGNED_TYPE | Group: 16448 | Offset: 230806
Name: .ARGTYPE_IS_STRING_TYPE | Group: 16448 | Offset: 230844
Name: .ARGTYPE_IS_UNSIGNED_TYPE | Group: 16448 | Offset: 230863
Name: .A_AMPEL_GELB | Group: 61489 | Offset: 17
Name: .A_AMPEL_GRUEN | Group: 61489 | Offset: 16
Name: .A_AMPEL_ROT | Group: 61489 | Offset: 18
Name: .A_CORE_AUS | Group: 61489 | Offset: 35
Name: .A_KUNDEN_DO1 | Group: 61489 | Offset: 14
Name: .A_KUNDEN_DO2 | Group: 61489 | Offset: 15
Name: .A_LADESCHUETZ_EIN | Group: 61489 | Offset: 7
Name: .A_LM_BATTERY_LOW_GELB | Group: 61489 | Offset: 4
Name: .A_LM_BEREIT_GRUEN | Group: 61489 | Offset: 2
Name: .A_LM_FAHRRICHTUNGSANZEIGE_LINKS | Group: 61489 | Offset: 9
Name: .A_LM_FAHRRICHTUNGSANZEIGE_RECHTS | Group: 61489 | Offset: 8
Name: .A_LM_MANUELL_LADEN | Group: 61489 | Offset: 1
Name: .A_LM_NOTAUS_ODER_FEHLER_ROT | Group: 61489 | Offset: 3
Name: .A_RESERVE_0_6 | Group: 61489 | Offset: 6
Name: .A_RESERVE_2_4 | Group: 61489 | Offset: 20
Name: .A_RESERVE_2_5 | Group: 61489 | Offset: 21
Name: .A_RESERVE_2_6 | Group: 61489 | Offset: 22
Name: .A_RESERVE_2_7 | Group: 61489 | Offset: 23
Name: .A_RGB_BLUE | Group: 61489 | Offset: 32
Name: .A_RGB_GREEN | Group: 61489 | Offset: 34
Name: .A_RGB_RED | Group: 61489 | Offset: 33
Name: .A_ROLLER_DRIVE_EC310_GESCHWINDIGKEITSVORGABE | Group: 61488 | Offset: 10
Name: .A_ROLLER_DRIVE_EC310_ROTATIONSRICHTUNG | Group: 61489 | Offset: 19
Name: .A_SAFETY_RESET_SIGNAL | Group: 61489 | Offset: 0
Name: .A_SAFETY_SCANNER_TIM_H_IN1 | Group: 61489 | Offset: 13
Name: .A_SAFETY_SCANNER_TIM_H_IN2 | Group: 61489 | Offset: 12
Name: .A_SAFETY_SCANNER_TIM_H_IN3 | Group: 61489 | Offset: 11
