=== BECKHOFF SPS VARIABLEN ===

Name: .AIC                                                         | Typ: STRUCT_AIC
Name: .AIC_IN_DATA                                                 | Typ: ARRAY [0..30] OF WORD
Name: .AIC_OUT_DATA                                                | Typ: ARRAY [0..30] OF WORD
Name: .ARGTYPE_IS_BIT_TYPE                                         | Typ: ARRAY [0..18] OF BOOL
Name: .ARGTYPE_IS_FLOAT_TYPE                                       | Typ: ARRAY [0..18] OF BOOL
Name: .ARGTYPE_IS_SIGNED_TYPE                                      | Typ: ARRAY [0..18] OF BOOL
Name: .ARGTYPE_IS_STRING_TYPE                                      | Typ: ARRAY [0..18] OF BOOL
Name: .ARGTYPE_IS_UNSIGNED_TYPE                                    | Typ: ARRAY [0..18] OF BOOL
Name: .A_AMPEL_GELB                                                | Typ: BOOL
Name: .A_AMPEL_GRUEN                                               | Typ: BOOL
Name: .A_AMPEL_ROT                                                 | Typ: BOOL
Name: .A_CORE_AUS                                                  | Typ: BOOL
Name: .A_KUNDEN_DO1                                                | Typ: BOOL
Name: .A_KUNDEN_DO2                                                | Typ: BOOL
Name: .A_LADESCHUETZ_EIN                                           | Typ: BOOL
Name: .A_LM_BATTERY_LOW_GELB                                       | Typ: BOOL
Name: .A_LM_BEREIT_GRUEN                                           | Typ: BOOL
Name: .A_LM_FAHRRICHTUNGSANZEIGE_LINKS                             | Typ: BOOL
Name: .A_LM_FAHRRICHTUNGSANZEIGE_RECHTS                            | Typ: BOOL
Name: .A_LM_MANUELL_LADEN                                          | Typ: BOOL
Name: .A_LM_NOTAUS_ODER_FEHLER_ROT                                 | Typ: BOOL
Name: .A_RESERVE_0_6                                               | Typ: BOOL
Name: .A_RESERVE_2_4                                               | Typ: BOOL
Name: .A_RESERVE_2_5                                               | Typ: BOOL
Name: .A_RESERVE_2_6                                               | Typ: BOOL
Name: .A_RESERVE_2_7                                               | Typ: BOOL
Name: .A_RGB_BLUE                                                  | Typ: BOOL
Name: .A_RGB_GREEN                                                 | Typ: BOOL
Name: .A_RGB_RED                                                   | Typ: BOOL
Name: .A_ROLLER_DRIVE_EC310_GESCHWINDIGKEITSVORGABE                | Typ: WORD
Name: .A_ROLLER_DRIVE_EC310_ROTATIONSRICHTUNG                      | Typ: BOOL
Name: .A_SAFETY_RESET_SIGNAL                                       | Typ: BOOL
Name: .A_SAFETY_SCANNER_TIM_H_IN1                                  | Typ: BOOL
Name: .A_SAFETY_SCANNER_TIM_H_IN2                                  | Typ: BOOL
Name: .A_SAFETY_SCANNER_TIM_H_IN3                                  | Typ: BOOL
Name: .A_SAFETY_SCANNER_TIM_H_IN4                                  | Typ: BOOL
Name: .A_SAFETY_SCANNER_TIM_L_IN1                                  | Typ: BOOL
Name: .A_SAFETY_SCANNER_TIM_L_IN2                                  | Typ: BOOL
Name: .A_SAFETY_SCANNER_TIM_L_IN3                                  | Typ: BOOL
Name: .A_SAFETY_SCANNER_TIM_L_IN4                                  | Typ: BOOL
Name: .A_SAFETY_SCANNER_TIM_R_IN1                                  | Typ: BOOL
Name: .A_SAFETY_SCANNER_TIM_R_IN2                                  | Typ: BOOL
